Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment   

FID3       FIDUCIAL         2470mil       8050mil       2470mil       8050mil       2470mil       8050mil  T         90.00 FIDUCIAL  
C38.9      0603             4060mil       3860mil       4060mil       3860mil       4060mil   3893.465mil  T        270.00 CAPACITOR 
C38.10     0603             4060mil       3370mil       4060mil       3370mil       4060mil   3403.465mil  T        270.00 CAPACITOR 
C39.1      0603             4940mil       7780mil       4940mil       7780mil   4973.465mil       7780mil  T        180.00 CAPACITOR 
C39.2      0603             4940mil       7290mil       4940mil       7290mil   4973.465mil       7290mil  T        180.00 CAPACITOR 
C39.3      0603             4940mil       6800mil       4940mil       6800mil   4973.465mil       6800mil  T        180.00 CAPACITOR 
C39.4      0603             4940mil       6310mil       4940mil       6310mil   4973.465mil       6310mil  T        180.00 CAPACITOR 
C39.5      0603             4940mil       5820mil       4940mil       5820mil   4973.465mil       5820mil  T        180.00 CAPACITOR 
C39.6      0603             4940mil       5290mil       4940mil       5290mil   4973.465mil       5290mil  T        180.00 CAPACITOR 
C39.7      0603             4940mil       4800mil       4940mil       4800mil   4973.465mil       4800mil  T        180.00 CAPACITOR 
C39.8      0603             4940mil       4310mil       4940mil       4310mil   4973.465mil       4310mil  T        180.00 CAPACITOR 
C39.9      0603             4940mil       3820mil       4940mil       3820mil   4973.465mil       3820mil  T        180.00 CAPACITOR 
C39.10     0603             4940mil       3330mil       4940mil       3330mil   4973.465mil       3330mil  T        180.00 CAPACITOR 
C40.1      0603             4960mil       7580mil       4960mil       7580mil   4926.535mil       7580mil  T        360.00 CAPACITOR 
C40.2      0603             4960mil       7090mil       4960mil       7090mil   4926.535mil       7090mil  T        360.00 CAPACITOR 
C40.3      0603             4960mil       6600mil       4960mil       6600mil   4926.535mil       6600mil  T        360.00 CAPACITOR 
C40.4      0603             4960mil       6110mil       4960mil       6110mil   4926.535mil       6110mil  T        360.00 CAPACITOR 
C40.5      0603             4960mil       5620mil       4960mil       5620mil   4926.535mil       5620mil  T        360.00 CAPACITOR 
C40.6      0603             4960mil       5090mil       4960mil       5090mil   4926.535mil       5090mil  T        360.00 CAPACITOR 
C40.7      0603             4960mil       4600mil       4960mil       4600mil   4926.535mil       4600mil  T        360.00 CAPACITOR 
C40.8      0603             4960mil       4110mil       4960mil       4110mil   4926.535mil       4110mil  T        360.00 CAPACITOR 
C40.9      0603             4960mil       3620mil       4960mil       3620mil   4926.535mil       3620mil  T        360.00 CAPACITOR 
C40.10     0603             4960mil       3130mil       4960mil       3130mil   4926.535mil       3130mil  T        360.00 CAPACITOR 
C41.1      0603             5260mil       7840mil       5260mil       7840mil       5260mil   7806.535mil  T         90.00 CAPACITOR 
C41.2      0603             5245mil       7360mil       5245mil       7360mil       5245mil   7326.535mil  T         90.00 CAPACITOR 
C41.3      0603             5255mil       6880mil       5255mil       6880mil       5255mil   6846.535mil  T         90.00 CAPACITOR 
C41.4      0603             5245mil       6395mil       5245mil       6395mil       5245mil   6361.535mil  T         90.00 CAPACITOR 
C41.5      0603             5250mil       5900mil       5250mil       5900mil       5250mil   5866.535mil  T         90.00 CAPACITOR 
C41.6      0603             5250mil       5375mil       5250mil       5375mil       5250mil   5341.535mil  T         90.00 CAPACITOR 
C41.7      0603             5255mil       4860mil       5255mil       4860mil       5255mil   4826.535mil  T         90.00 CAPACITOR 
C41.8      0603             5255mil       4385mil       5255mil       4385mil       5255mil   4351.535mil  T         90.00 CAPACITOR 
C41.9      0603             5255mil       3885mil       5255mil       3885mil       5255mil   3851.535mil  T         90.00 CAPACITOR 
C41.10     0603             5260mil       3390mil       5260mil       3390mil       5260mil   3356.535mil  T         90.00 CAPACITOR 
C42.1      0603             5260mil       7620mil       5260mil       7620mil       5260mil   7586.535mil  T         90.00 CAPACITOR 
C42.2      0603             5260mil       7130mil       5260mil       7130mil       5260mil   7096.535mil  T         90.00 CAPACITOR 
C42.3      0603             5260mil       6640mil       5260mil       6640mil       5260mil   6606.535mil  T         90.00 CAPACITOR 
C42.4      0603             5260mil       6150mil       5260mil       6150mil       5260mil   6116.535mil  T         90.00 CAPACITOR 
C42.5      0603             5260mil       5660mil       5260mil       5660mil       5260mil   5626.535mil  T         90.00 CAPACITOR 
C42.6      0603             5260mil       5130mil       5260mil       5130mil       5260mil   5096.535mil  T         90.00 CAPACITOR 
C42.7      0603             5260mil       4640mil       5260mil       4640mil       5260mil   4606.535mil  T         90.00 CAPACITOR 
C42.8      0603             5260mil       4150mil       5260mil       4150mil       5260mil   4116.535mil  T         90.00 CAPACITOR 
C42.9      0603             5260mil       3660mil       5260mil       3660mil       5260mil   3626.535mil  T         90.00 CAPACITOR 
C42.10     0603             5260mil       3170mil       5260mil       3170mil       5260mil   3136.535mil  T         90.00 CAPACITOR 
C45.1      3216             3000mil       7860mil       3000mil       7860mil   2944.882mil       7860mil  T        360.00 Tantalum  
C45.2      3216             3000mil       7370mil       3000mil       7370mil   2944.882mil       7370mil  T        360.00 Tantalum  
C45.3      3216             3000mil       6880mil       3000mil       6880mil   2944.882mil       6880mil  T        360.00 Tantalum  
C45.4      3216             3000mil       6390mil       3000mil       6390mil   2944.882mil       6390mil  T        360.00 Tantalum  
C45.5      3216             3000mil       4880mil       3000mil       4880mil   2944.882mil       4880mil  T        360.00 Tantalum  
C45.6      3216             3000mil       4390mil       3000mil       4390mil   2944.882mil       4390mil  T        360.00 Tantalum  
C45.7      3216             3000mil       3900mil       3000mil       3900mil   2944.882mil       3900mil  T        360.00 Tantalum  
C45.8      3216             3000mil       3410mil       3000mil       3410mil   2944.882mil       3410mil  T        360.00 Tantalum  
C46.1      3216             2980mil       7580mil       2980mil       7580mil   3035.118mil       7580mil  T        180.00 Tantalum  
C46.2      3216             2980mil       7090mil       2980mil       7090mil   3035.118mil       7090mil  T        180.00 Tantalum  
C46.3      3216             2980mil       6600mil       2980mil       6600mil   3035.118mil       6600mil  T        180.00 Tantalum  
C46.4      3216             2980mil       6110mil       2980mil       6110mil   3035.118mil       6110mil  T        180.00 Tantalum  
C46.5      3216             2980mil       4600mil       2980mil       4600mil   3035.118mil       4600mil  T        180.00 Tantalum  
C46.6      3216             2980mil       4110mil       2980mil       4110mil   3035.118mil       4110mil  T        180.00 Tantalum  
C46.7      3216             2980mil       3620mil       2980mil       3620mil   3035.118mil       3620mil  T        180.00 Tantalum  
C46.8      3216             2980mil       3130mil       2980mil       3130mil   3035.118mil       3130mil  T        180.00 Tantalum  
C53        0603             7512mil       5810mil       7512mil       5810mil   7478.535mil       5810mil  T        360.00 CAPACITOR 
C54        3216             6770mil       7770mil       6770mil       7770mil       6770mil   7714.882mil  T         90.00 Tantalum  
C60        CC1608-0603       6470mil       7320mil       6470mil       7320mil       6470mil   7353.465mil  T        270.00 Cap       
C61        PanasonicE       7910mil       6250mil       7910mil       6250mil       7910mil    6368.11mil  T         90.00 low ESR   
C62        3216             6890mil       3740mil       6890mil       3740mil   6945.118mil       3740mil  T        180.00 low ESR   
C67        3528             7660mil       5180mil       7660mil       5180mil   7600.945mil       5180mil  T        360.00 T494B476M010AS
C68        3528             7350mil       5180mil       7350mil       5180mil   7409.055mil       5180mil  T        180.00 T494B476M010AS
C69        PanasonicE       7340mil       7190mil       7340mil       7190mil       7340mil    7071.89mil  T        270.00 Low ESR   
C70        PanasonicE       7340mil       7630mil       7340mil       7630mil       7340mil    7511.89mil  T        270.00 Low ESR   
JP1        HDR2x7-2mm    8849.37mil   4263.779mil       8810mil       4500mil       8810mil       4500mil  T        180.00 Header 7X2
JP2        HDR2X10          2170mil       5500mil       2120mil       5950mil       2120mil       5950mil  T        270.00 Header 10X2H
L1         LUMEX_DUAL_RT-ANG_LED       8790mil       3630mil       8790mil       3630mil       8790mil   3454.803mil  T         90.00 SSF-LXH2100ID
L2         STEWARD_1SR       7910mil       7120mil       7910mil       7120mil       8079mil       7120mil  T        180.00 Inductor 28F0121-1SR
L3         STEWARD_1SR       7910mil       7650mil       7910mil       7650mil       8079mil       7650mil  T        180.00 Inductor 28F0121-1SR
O1         HPVL             8730mil       5560mil       8580mil       5560mil       8580mil       5710mil  T         90.00 HFBR-1528 Fiber Transmitter
O2         SG636PCE     8240.551mil       4020mil       8150mil       4120mil       8150mil       4120mil  T        360.00 SG-636PCE 36.0000MC0
O3         HPVL             8730mil       5160mil       8580mil       5160mil       8580mil       5310mil  T         90.00 HFBR-2528 Fiber Receiver
POWER-A1   MJ4RTHR      8703.701mil   7397.323mil       8560mil       7480mil       8560mil   7645.354mil  T         90.00 39-30-3045
POWER-D1   MJ4RTHR      8703.701mil   6357.323mil       8560mil       6440mil       8560mil   6605.354mil  T         90.00 39-30-3045
R1         0603             8250mil       5740mil       8250mil       5740mil       8250mil   5706.535mil  T         90.00 RESISTOR  
R2         0603             8250mil       5390mil       8250mil       5390mil       8250mil   5356.535mil  T         90.00 RESISTOR  
R3         0603             8250mil       5190mil       8250mil       5190mil   8216.535mil       5190mil  T        360.00 RESISTOR  
R4         0603             8250mil       5050mil       8250mil       5050mil   8216.535mil       5050mil  T        360.00 RESISTOR  
R5         0603             7700mil       3440mil       7700mil       3440mil   7666.535mil       3440mil  T        360.00 RESISTOR  
R6         0603             7930mil       3440mil       7930mil       3440mil   7896.535mil       3440mil  T        360.00 RESISTOR  
R7         0603             7760mil       4640mil       7760mil       4640mil   7726.535mil       4640mil  T        360.00 RESISTOR  
R8         0603             7740mil       4950mil       7740mil       4950mil   7706.535mil       4950mil  T        360.00 RESISTOR  
R9         0603             7910mil       4640mil       7910mil       4640mil   7943.465mil       4640mil  T        180.00 RESISTOR  
R10        0603             7420mil       4640mil       7420mil       4640mil   7453.465mil       4640mil  T        180.00           
R11        0603             7580mil       4640mil       7580mil       4640mil   7613.465mil       4640mil  T        180.00           
R12        0603             7200mil       4870mil       7200mil       4870mil       7200mil   4836.535mil  T         90.00           
R13.1      0603             3160mil       7640mil       3160mil       7640mil       3160mil   7606.535mil  T         90.00 RESISTOR  
